"Year","countrycode","Cluster","Total_Allocations","Targeted_People","Reached_People"
"2021","SOM","Emergency Shelter and NFI","4878685.3036","89711","95689"
"2021","SOM","Food Security","7299570.29","185859","185974"
"2021","SOM","Health","5004511.7382","491362","501673"
"2021","SOM","Logistics","999998","30","77"
"2021","SOM","Multi-Sector","690000.05","10140","10000"
"2021","SOM","Nutrition","5498696.637","459029","528188"
"2021","SOM","Protection","4491653.0976","158963","188671"
"2021","SOM","Water, Sanitation and Hygiene","12196594.15248","430763","559020"
"2021","SSD","Camp Coordination / Management","3445397.617718","253344","428619"
"2021","SSD","Coordination and Support Services","728566.1518","8300042","8300042"
"2021","SSD","Education","4254811.0678","190663","201349"
"2021","SSD","Emergency Shelter and NFI","6032623.664007","442662","555630"
"2021","SSD","Food Security","5334058.174284","977194","949847"
"2021","SSD","Health","12334309.445804","1196673","1339291"
"2021","SSD","Logistics","4803473.5182","263127","263166"
"2021","SSD","Nutrition","5616997.74072","312603","317674"
"2021","SSD","Protection","11831344.362778","603468","804216"
"2021","SSD","Water, Sanitation and Hygiene","14769805.096889","989195","1333398"
"2021","SDN","Coordination and Support Services","944128.1900000001","1954262","1954262"
"2021","SDN","Education","3662388.8289","284671","291490"
"2021","SDN","Emergency Shelter and NFI","6272259.1179","225052","241641"
"2021","SDN","Food Security","5658484.5228","358401","365367"
"2021","SDN","Health","9522889.121000001","964793","848528"
"2021","SDN","Nutrition","4389061.2252","309692","342572"
"2021","SDN","Protection","10755740.8858","629818","614525"
"2021","SDN","Water, Sanitation and Hygiene","15659210.748399999","3226365","1558567"
"2021","SYR","Early Recovery","1466234.006","177344","158929"
"2021","SYR","Education","6086755.6","40886","53505"
"2021","SYR","Emergency Shelter and NFI","11445928.57","155464","178097"
"2021","SYR","Food Security","17326835.79328","804410","827734"
"2021","SYR","Health","13196205.200000001","4647910","4392890"
"2021","SYR","Logistics","999999.32","350","374"
"2021","SYR","Nutrition","1215550.809","174816","191960"
"2021","SYR","Protection","4362581.641","669426","148204"
"2021","SYR","Water, Sanitation and Hygiene","11557705.320719998","916303","860413"
"2021","SYR","Camp Coordination / Management","4064167.0938","209568","221416"
"2021","SYR","Coordination and Support Services","493518.24","17800","17838"
"2021","SYR","Early Recovery","17941938.130148","1838865","2035466"
"2021","SYR","Education","8960365.8783","315972","256082"
"2021","SYR","Emergency Shelter and NFI","28062034.991254","850026","899792"
"2021","SYR","Food Security","25722563.407752","1059937","1077225"
"2021","SYR","Health","24026306.378546","1928897","2322310"
"2021","SYR","Logistics","2559848.759","255267","317374"
"2021","SYR","Nutrition","2488851.1814","409281","483948"
"2021","SYR","Protection","9787852.962960001","426129","508818"
"2021","SYR","Water, Sanitation and Hygiene","27091355.22684","3930474","3572444"
"2021","UKR","Education","1235486.8553","23267","30943"
"2021","UKR","Emergency Shelter and NFI","1899274.792","47071","54092"
"2021","UKR","Food Security","1639109","16422","16472"
"2021","UKR","Health","1578888.325","47859","28520"
"2021","UKR","Protection","5054052.371700001","96571","135608"
"2021","UKR","Water, Sanitation and Hygiene","3385445.1160000004","715427","403909"
"2021","VEN","Education","2393975.6946","27197","28091"
"2021","VEN","Emergency Shelter and NFI","1548270.1744","20215","32954"
"2021","VEN","Food Security","1914414.19848","30397","38993"
"2021","VEN","Health","821441.527","17263","22379"
"2021","VEN","Nutrition","397244.06859","8182","9065"
"2021","VEN","Protection","2088330.1659300001","36087","45793"
"2021","VEN","Water, Sanitation and Hygiene","2292361.5209999997","34454","43058"
"2021","YEM","Camp Coordination / Management","7431283.08151","354297","214438"
"2021","YEM","Education","8944180.184700001","239247","320341"
"2021","YEM","Emergency Shelter and NFI","15717961.371180002","522290","382386"
"2021","YEM","Food Security","10297400.0646","142426","114187"
"2021","YEM","Health","15393449.45425","6455135","2810558"
"2021","YEM","Logistics","3245095.98","1120","1474"
"2021","YEM","Multi-Sector","7640003.95","467327","498728"
"2021","YEM","Nutrition","6731220.04725","679261","620115"
"2021","YEM","Protection","13766207.62724","1196440","1185246"
"2021","YEM","Water, Sanitation and Hygiene","23837482.739269998","3264365","3539702"
"2020","AFG","Coordination and Support Services","9195099.95","76662","157873"
"2020","AFG","Education","1455763.42","171585","172056"
"2020","AFG","Emergency Shelter and NFI","11765236.7577","233810","237085"
"2020","AFG","Food Security","10851945.611900002","514904","535985"
"2020","AFG","Health","13156308.758605","2152816","4043317"
"2020","AFG","Nutrition","8015693.27468","448474","862274"
"2020","AFG","Protection","10052012.085915","923951","1127440"
"2020","AFG","Water, Sanitation and Hygiene","9782455.5512","1010686","1210702"
"2020","CAR","Camp Coordination / Management","1607468.38745","119821","134852"
"2020","CAR","Coordination and Support Services","870231.3500000001","2086","2059"
"2020","CAR","Education","1396688.4049","145726","130351"
"2020","CAR","Emergency Shelter and NFI","3316534.9503880003","235635","191648"
"2020","CAR","Emergency Telecommunications","160037.55","2200","689"
"2020","CAR","Food Security","4762042.0195","141912","159306"
"2020","CAR","Health","3308684.918","621595","658157"
"2020","CAR","Logistics","4542869.7345","615","585"
"2020","CAR","Nutrition","2887373.2899","310983","300369"
"2020","CAR","Protection","3057054.5811159997","326784","456278"
"2020","CAR","Water, Sanitation and Hygiene","4930985.154246001","676247","825604"
"2020","DRC","Education","3524574.2215","64287","63031"
"2020","DRC","Emergency Shelter and NFI","7862583.630863","223598","230140"
"2020","DRC","Food Security","15726052.665438","481170","367245"
"2020","DRC","Health","12878888.998100001","1810904","2244308"
"2020","DRC","Logistics","902131.98","115016","355043"
"2020","DRC","Multi-Sector","1038011.87","114","118"
"2020","DRC","Nutrition","7580754.843","435491","559470"
"2020","DRC","Protection","12004863.648005001","820678","1099066"
"2020","DRC","Water, Sanitation and Hygiene","13482779.813094","1591573","2180639"
"2020","ETH","Education","2776067.9294","145533","160972"
"2020","ETH","Emergency Shelter and NFI","12308091.484682001","899202","1180237"
"2020","ETH","Food Security","2390790.01","902733","740857"
"2020","ETH","Health","12250001.962726","2498205","2905784"
"2020","ETH","Logistics","4800014.85","75","101"
"2020","ETH","Nutrition","5919619.395371","754979","942293"
"2020","ETH","Protection","5982411.703962999","673842","730447"
"2020","ETH","Water, Sanitation and Hygiene","11051524.223857999","1374747","1688491"
"2020","IRQ","Camp Coordination / Management","1100182.8","27503","20404"
"2020","IRQ","Coordination and Support Services","605367.23","34722","47024"
"2020","IRQ","Education","2100000.01","74621","74900"
"2020","IRQ","Emergency Shelter and NFI","3126977.85","30168","32089"
"2020","IRQ","Food Security","2200000","11664","13672"
"2020","IRQ","Health","2905023.7","1390267","4953359"
"2020","IRQ","Multi-Sector","2999807.06","13686","16853"
"2020","IRQ","Protection","7957509.72","150125","204783"
"2020","IRQ","Water, Sanitation and Hygiene","4599244.21","221574","313757"
"2020","JOR","Emergency Shelter and NFI","3812763.5420000004","73990","74478"
"2020","JOR","Health","1634009.98","534448","94373"
"2020","JOR","Protection","1567377.198","162363","303446"
"2020","JOR","Water, Sanitation and Hygiene","1320363.7","343557","333942"
"2020","LBN","Coordination and Support Services","431594.12380000006","14235","1953"
"2020","LBN","COVID-19","211168.939","330","483"
"2020","LBN","Emergency Shelter and NFI","996813.01","25605","33710"
"2020","LBN","Food Security","3921972.9762","61564","83003"
"2020","LBN","Health","6697707.4896","75432","108593"
"2020","LBN","Protection","3061693.4114","15923","17889"
"2020","LBN","Water, Sanitation and Hygiene","889156.0800000001","2331","3061"
"2020","MMR","Camp Coordination / Management","200155.32900000003","7544","7350"
"2020","MMR","Coordination and Support Services","326635.5","29036","27056"
"2020","MMR","COVID-19","3789334.2925000004","719034","782551"
"2020","MMR","Education","1990652.8257","62538","68723"
"2020","MMR","Emergency Shelter and NFI","2634645.0884","74315","67470"
"2020","MMR","Food Security","1883014.419","50454","40457"
"2020","MMR","Health","1678063.9272000003","197987","171890"
"2020","MMR","Nutrition","291158.5085","10887","11279"
"2020","MMR","Protection","2063041.4016000002","146763","124823"
"2020","MMR","Water, Sanitation and Hygiene","1688031.4881000002","98085","57604"
"2020","NGA","Camp Coordination / Management","2520793.2687999997","604701","626809"
"2020","NGA","Coordination and Support Services","809358.43","100220","400311"
"2020","NGA","Emergency Shelter and NFI","3413430.608","197999","389385"
"2020","NGA","Food Security","588800.63","4800","5204"
"2020","NGA","Health","6102701.25","1511885","1426620"
"2020","NGA","Nutrition","4249657.22","171107","271510"
"2020","NGA","Protection","2114866.6232000003","407580","504272"
"2020","NGA","Water, Sanitation and Hygiene","3558494.4699999997","505220","887592"
"2020","PSE","Education","687991.816","10302","11563"
"2020","PSE","Emergency Shelter and NFI","4483074.300000001","84352","110454"
"2020","PSE","Food Security","9332312.49","143463","144952"
"2020","PSE","Health","12932171.984","1108640","2384602"
"2020","PSE","Protection","3575189.4000000004","87352","96202"
"2020","PSE","Water, Sanitation and Hygiene","5179161.77","10748187","9276079"
"2020","PAK","Food Security","5793917.380000001","1661231","281217"
"2020","PAK","Health","2893633.4","1457007","1493631"
"2020","PAK","Water, Sanitation and Hygiene","993893.78","248775","251689"
"2020","SOM","Camp Coordination / Management","2182999.9055749997","241748","420966"
"2020","SOM","Education","1473282.526","58717","119835"
"2020","SOM","Emergency Shelter and NFI","6339097.147050001","153501","162723"
"2020","SOM","Food Security","3927553.07","88720","94472"
"2020","SOM","Health","6133145.917","300712","319593"
"2020","SOM","Logistics","1000006.52","30","38"
"2020","SOM","Multi-Sector","1464691.4440000001","3786","3736"
"2020","SOM","Nutrition","2024641.093","135119","158255"
"2020","SOM","Protection","4427332.364","192554","630262"
"2020","SOM","Water, Sanitation and Hygiene","7583332.533375001","300477","322371"
"2020","SSD","Camp Coordination / Management","1448473.2379","69054","103966"
"2020","SSD","Coordination and Support Services","1000000","153783","374"
"2020","SSD","Education","2483007.7613","43843","56481"
"2020","SSD","Emergency Shelter and NFI","4455428.4015","423010","410594"
"2020","SSD","Food Security","8081613.5613","1238075","1299716"
"2020","SSD","Health","14294684.16295","709732","939101"
"2020","SSD","Logistics","2200000.05","29117","29161"
"2020","SSD","Nutrition","8936579.5294","461861","582512"
"2020","SSD","Protection","11596212.06845","433302","593582"
"2020","SSD","Water, Sanitation and Hygiene","7886676.3171999995","473024","599476"
"2020","SDN","Coordination and Support Services","676881.98","56244","69473"
"2020","SDN","Education","1049962.54","43242","52337"
"2020","SDN","Emergency Shelter and NFI","2582439.11","162645","156520"
"2020","SDN","Food Security","18632906.3454","16412260","16628658"
"2020","SDN","Health","24397314.6827","8855180","7965208"
"2020","SDN","Nutrition","7687413.609200001","798208","759069"
"2020","SDN","Protection","3537737.4128","164212","148408"
"2020","SDN","Water, Sanitation and Hygiene","17226933.9199","2842556","2391739"
"2020","SYR","COVID-19","21879349.270000003","9454749","9347116"
"2020","SYR","Early Recovery","3438051.0650000004","84736","93392"
"2020","SYR","Education","2923667.6900000004","44193","43532"
"2020","SYR","Emergency Shelter and NFI","8927058.38","218856","273062"
"2020","SYR","Food Security","11281481.761999998","344903","339345"
"2020","SYR","Health","8053002.129999999","608656","694123"
"2020","SYR","Logistics","1500000","300","134"
"2020","SYR","Nutrition","1502996.04","277881","289434"
"2020","SYR","Protection","3272522.66","480007","242165"
"2020","SYR","Water, Sanitation and Hygiene","5959814.052999999","883913","1073959"
"2020","SYR","Camp Coordination / Management","8093467.5685","177968","173499"
"2020","SYR","Coordination and Support Services","1583687.5799999998","4016250","15974"
"2020","SYR","Early Recovery","6504965.800432","963499","1188214"
"2020","SYR","Education","8861311.328","152885","202677"
"2020","SYR","Emergency Shelter and NFI","38521081.79704","722728","843800"
"2020","SYR","Food Security","44037187.149110995","1346428","1379418"
"2020","SYR","Health","37565820.917692006","6189950","5608319"
"2020","SYR","Nutrition","2729381.829445","549845","643283"
"2020","SYR","Protection","14956942.3035","855560","920871"
"2020","SYR","Water, Sanitation and Hygiene","21739055.576279998","1980708","2309748"
"2020","UKR","Coordination and Support Services","630009.645028","29200","43991"
"2020","UKR","COVID-19","1992139","15558","19938"
"2020","UKR","Education","346628.60699999996","4035","7326"
"2020","UKR","Emergency Shelter and NFI","820577.1240000001","17610","11533"
"2020","UKR","Food Security","532657.691","3674","5142"
"2020","UKR","Health","2482704.991","415075","619468"
"2020","UKR","Protection","1346984.620264","81974","90687"
"2020","UKR","Water, Sanitation and Hygiene","2573438.741708","64594","95704"
"2020","YEM","Camp Coordination / Management","2859475.6143","98609","116189"
"2020","YEM","Education","2114118.093888","50876","57894"
"2020","YEM","Emergency Shelter and NFI","8516822.9747","337153","281667"
"2020","YEM","Emergency Telecommunications","2384802.6277","78","83"
"2020","YEM","Food Security","15383075.908512","153252","139609"
"2020","YEM","Health","29729313.527","2116251","7916764"
"2020","YEM","Logistics","1995012.7623","53","47"
"2020","YEM","Multi-Sector","8222690.88","561307","457104"
"2020","YEM","Nutrition","9555852.1853","457591","618108"
"2020","YEM","Protection","6611316.100199999","160158","118078"
"2020","YEM","Water, Sanitation and Hygiene","11721353.5461","597315","774758"
"2019","AFG","Coordination and Support Services","2000000","3200","1920"
"2019","AFG","Education","3821982.50018","43731","61916"
"2019","AFG","Emergency Shelter and NFI","21943278.169999998","521670","457183"
"2019","AFG","Food Security","17002421.3875","1375017","1603740"
"2019","AFG","Health","2199711.27","63700","81112"
"2019","AFG","Nutrition","8998515.63","166198","169226"
"2019","AFG","Protection","4415944.51532","392696","367600"
"2019","AFG","Water, Sanitation and Hygiene","3399250.9569999995","360824","324365"
"2019","CAR","Camp Coordination / Management","561987.873","91790","108168"
"2019","CAR","Coordination and Support Services","1249172.6","677","1206"
"2019","CAR","Early Recovery","1000099.06","15824","20228"
"2019","CAR","Education","2404000.065","121298","133314"
"2019","CAR","Emergency Shelter and NFI","2530772.084","180562","228158"
"2019","CAR","Emergency Telecommunications","605905.98","1855","1855"
"2019","CAR","Food Security","5039939.8100000005","186765","191741"
"2019","CAR","Health","4955850.6555","862896","848091"
"2019","CAR","Logistics","5300373.07","1572","12505"
"2019","CAR","Nutrition","5235047.92","431901","421586"
"2019","CAR","Protection","4172563.823","363820","412473"
"2019","CAR","Water, Sanitation and Hygiene","5942709.0695","679443","729144"
"2019","DRC","Coordination and Support Services","197999.21","100","100"
"2019","DRC","Education","5514622.010548","77277","88381"
"2019","DRC","Emergency Shelter and NFI","6936011.2269","120101","132938"
"2019","DRC","Food Security","9131193.7129","184745","211311"
"2019","DRC","Health","16936895.80032","2350528","2572362"
"2019","DRC","Logistics","6326068.4234","4346","4508"
"2019","DRC","Nutrition","6458664.27028","200012","258398"
"2019","DRC","Protection","11562591.423052","855596","1122800"
"2019","DRC","Water, Sanitation and Hygiene","15382909.742600001","1520061","1296873"
"2019","ETH","Coordination and Support Services","296122.54","10000","10000"
"2019","ETH","Education","3790002.26","114093","107811"
"2019","ETH","Emergency Shelter and NFI","12025829.010091","760383","1087431"
"2019","ETH","Food Security","3968615.6589","588094","679368"
"2019","ETH","Health","10528031.517039001","4202371","4998525"
"2019","ETH","Nutrition","12030459.711278","1160385","1515326"
"2019","ETH","Protection","5237158.729013","1070890","890532"
"2019","ETH","Water, Sanitation and Hygiene","13156270.993679002","2030385","2386379"
"2019","IRQ","Camp Coordination / Management","3670909.4147","386060","403254"
"2019","IRQ","Coordination and Support Services","2458474.42","101183","254784"
"2019","IRQ","Early Recovery","3335243.65","3258","3280"
"2019","IRQ","Education","5141985.339","94634","116531"
"2019","IRQ","Emergency Shelter and NFI","17783917.5075","304734","478209"
"2019","IRQ","Emergency Telecommunications","137000.01","1","1"
"2019","IRQ","Food Security","4987048.2516","43816","41763"
"2019","IRQ","Health","11593934.280000001","1716522","2082562"
"2019","IRQ","Multi-Sector","7309481.56","44935","45773"
"2019","IRQ","Protection","15683702.0794","443845","400481"
"2019","IRQ","Water, Sanitation and Hygiene","10248786.5378","448392","551849"
"2019","JOR","Emergency Shelter and NFI","3586907.2600000002","31922","33935"
"2019","JOR","Health","2258076.398","5970","7140"
"2019","JOR","Protection","1952501.862","20740","25667"
"2019","JOR","Water, Sanitation and Hygiene","956305.34","5714","7569"
"2019","LBN","Education","1045022.51","2300","1936"
"2019","LBN","Emergency Shelter and NFI","4103729.27","38478","38798"
"2019","LBN","Health","3623587.5399999996","500325","330096"
"2019","LBN","Protection","2191859.5","21973","22547"
"2019","MMR","Camp Coordination / Management","279647.6839","11021","11823"
"2019","MMR","Education","1911902.6859420002","51501","68900"
"2019","MMR","Emergency Shelter and NFI","2683309.571374","37072","42063"
"2019","MMR","Food Security","1949597.442455","53061","68212"
"2019","MMR","Health","2926299.3720000004","253956","242232"
"2019","MMR","Nutrition","1031371.3826359999","72310","61392"
"2019","MMR","Protection","2688082.5332359998","135387","167005"
"2019","MMR","Water, Sanitation and Hygiene","2025664.6984569998","58209","71626"
"2019","NGA","Camp Coordination / Management","3179175.3498","490789","500607"
"2019","NGA","Coordination and Support Services","699999.958","4772","5736"
"2019","NGA","Emergency Shelter and NFI","7824572.781400001","434336","421236"
"2019","NGA","Health","4494348.4904","480181","461814"
"2019","NGA","Nutrition","2200187.8800000004","69279","79872"
"2019","NGA","Protection","3200578.5308","184635","378447"
"2019","NGA","Water, Sanitation and Hygiene","6093981.539600001","1338770","1420304"
"2019","PSE","Education","818519.432304","9419","12524"
"2019","PSE","Emergency Shelter and NFI","4243292.29","30706","37090"
"2019","PSE","Food Security","5703405.769476","154045","163977"
"2019","PSE","Health","8043411.251999999","594035","909153"
"2019","PSE","Protection","5246123.51622","112712","127646"
"2019","PSE","Water, Sanitation and Hygiene","3700773.73","187904","222549"
"2019","PAK","Food Security","1928778.8994999998","184265","229894"
"2019","PAK","Health","1252038.844","410154","445210"
"2019","PAK","Nutrition","2512674.942","190975","202482"
"2019","PAK","Water, Sanitation and Hygiene","3196925.4645","552951","588253"
"2019","SOM","Camp Coordination / Management","1990846.402","178794","177660"
"2019","SOM","Education","5288998.57","59968","69660"
"2019","SOM","Emergency Shelter and NFI","5686521.8780000005","157777","175340"
"2019","SOM","Food Security","7898659.48","134152","160952"
"2019","SOM","Health","5852292.7902","334378","409336"
"2019","SOM","Multi-Sector","1920001.2799999998","107380","110212"
"2019","SOM","Nutrition","5826228.4323","234911","285178"
"2019","SOM","Protection","6237996.35","171501","202057"
"2019","SOM","Water, Sanitation and Hygiene","12710512.4875","628275","696016"
"2019","SSD","Camp Coordination / Management","2181061.1890000002","256195","335319"
"2019","SSD","Coordination and Support Services","579999.99","30450","26974"
"2019","SSD","Education","5372794.83751","204692","250556"
"2019","SSD","Emergency Shelter and NFI","6726168.528066","717525","797431"
"2019","SSD","Food Security","7477725.906959999","1588404","1593344"
"2019","SSD","Health","14330880.547039","2214035","2228018"
"2019","SSD","Logistics","4075127","517","678"
"2019","SSD","Nutrition","12262491.621812","940285","1129486"
"2019","SSD","Protection","13988408.689028","904063","1012284"
"2019","SSD","Water, Sanitation and Hygiene","12973052.380585","870665","1013575"
"2019","SDN","Education","4993615.53868","241158","242901"
"2019","SDN","Emergency Shelter and NFI","1700016.1","116500","80820"
"2019","SDN","Food Security","10434157.313129999","653295","764601"
"2019","SDN","Health","13787682.866880002","4044899","4165345"
"2019","SDN","Logistics","1000000","24000","16646"
"2019","SDN","Nutrition","6564373.826239999","568162","749373"
"2019","SDN","Protection","5720472.9090100005","307483","446052"
"2019","SDN","Water, Sanitation and Hygiene","14387290.296060001","2722834","2666641"
"2019","SYR","Education","7540244.5","97208","982209"
"2019","SYR","Emergency Shelter and NFI","7788429.220000001","263771","266426"
"2019","SYR","Food Security","6348760.59","468070","462177"
"2019","SYR","Health","8836273.6439","958227","854623"
"2019","SYR","Nutrition","1199871.7601","151158","134908"
"2019","SYR","Protection","7508902.4120000005","221038","273994"
"2019","SYR","Water, Sanitation and Hygiene","13430729.914","3365193","3450162"
"2019","SYR","Camp Coordination / Management","16880622.67158","403633","486465"
"2019","SYR","Coordination and Support Services","2043085.78","10490","9890"
"2019","SYR","Early Recovery","3551060.277012","260698","280141"
"2019","SYR","Education","12083859.7637","350067","461898"
"2019","SYR","Emergency Shelter and NFI","18495495.934537","574426","549075"
"2019","SYR","Food Security","14817400.684988","444408","694245"
"2019","SYR","Health","13329997.9318","2777747","5096923"
"2019","SYR","Nutrition","2356292.67","243893","285532"
"2019","SYR","Protection","8775304.682983","486913","584641"
"2019","SYR","Water, Sanitation and Hygiene","24889213.753399998","5422854","5741028"
"2019","UKR","Emergency Shelter and NFI","459852.4002","1703","1968"
"2019","UKR","Food Security","555626.5739","2315","2504"
"2019","UKR","Health","650147.6041","3447","5031"
"2019","UKR","Protection","554056.9145","2743","3057"
"2019","UKR","Water, Sanitation and Hygiene","767998.6973","14169","17191"
"2019","YEM","Camp Coordination / Management","5348545.28776","147066","147683"
"2019","YEM","Coordination and Support Services","19650308.98","542385","840476"
"2019","YEM","Education","13532014.133676","337869","281515"
"2019","YEM","Emergency Shelter and NFI","26457146.413939998","622354","741236"
"2019","YEM","Food Security","35199553.092664","936648","700476"
"2019","YEM","Health","60411988.11929999","3513974","4506152"
"2019","YEM","Multi-Sector","6977155.98","756000","748000"
"2019","YEM","Nutrition","4268136.6694","176702","153541"
"2019","YEM","Protection","20183868.4226","521879","617335"
"2019","YEM","Water, Sanitation and Hygiene","47375313.090660006","3454843","3906540"
"2018","AFG","Coordination and Support Services","1236704.4100000001","20590","28770"
"2018","AFG","Education","1779120.808","30148","29414"
"2018","AFG","Emergency Shelter and NFI","19510314.5627","585190","451905"
"2018","AFG","Food Security","7439074.7432","366241","391535"
"2018","AFG","Health","7489865.209000001","1198145","1479740"
"2018","AFG","Nutrition","12496483.5242","570410","868242"
"2018","AFG","Protection","3468618.0673","190539","253429"
"2018","AFG","Water, Sanitation and Hygiene","9164588.6156","703352","688894"
"2018","CAR","Camp Coordination / Management","570259.9153999999","73695","75741"
"2018","CAR","Early Recovery","1489030.1","84330","73341"
"2018","CAR","Education","1826805.1372","70559","106991"
"2018","CAR","Emergency Shelter and NFI","2403582.5182999996","156065","150683"
"2018","CAR","Emergency Telecommunications","400000.01","6","4"
"2018","CAR","Food Security","3552961.5481000002","117556","121580"
"2018","CAR","Health","3321145.486","898574","854788"
"2018","CAR","Logistics","3141169.75","308","458"
"2018","CAR","Nutrition","3997222.894","192782","156235"
"2018","CAR","Protection","3540286.161","431345","407803"
"2018","CAR","Water, Sanitation and Hygiene","4150356.46","340234","347790"
"2018","DRC","Education","5684079.603999999","147866","174204"
"2018","DRC","Emergency Shelter and NFI","6963977.919","211604","227507"
"2018","DRC","Food Security","15078065.8929","356747","396752"
"2018","DRC","Health","9284785.99992","638148","994495"
"2018","DRC","Logistics","4428559.068035999","121274","128680"
"2018","DRC","Multi-Sector","5320181.79","82280","162227"
"2018","DRC","Nutrition","6360554.947480001","164182","159853"
"2018","DRC","Protection","7415900.217099999","526575","565237"
"2018","DRC","Water, Sanitation and Hygiene","7984918.281564001","609040","1469092"
"2018","ETH","Education","1987364.28","51751","47289"
"2018","ETH","Emergency Shelter and NFI","12173320.888600001","906138","1293515"
"2018","ETH","Food Security","5700887","1210388","1614875"
"2018","ETH","Health","15272084.811500002","3888221","4157789"
"2018","ETH","Nutrition","26253103.448100004","1406969","1634340"
"2018","ETH","Protection","6263955.851199999","1392712","797824"
"2018","ETH","Water, Sanitation and Hygiene","17016819.560599998","1948985","2208909"
"2018","IRQ","Camp Coordination / Management","1120898.3221","186537","322032"
"2018","IRQ","Coordination and Support Services","2381378.9825","596360","618897"
"2018","IRQ","Early Recovery","497998.97000000003","1177","1455"
"2018","IRQ","Education","2156952.15","42272","52096"
"2018","IRQ","Emergency Shelter and NFI","4857839.9054000005","166162","241940"
"2018","IRQ","Food Security","1635200.64","34830","48020"
"2018","IRQ","Health","7775514.350000001","10960890","8810424"
"2018","IRQ","Logistics","858970.8","5","5"
"2018","IRQ","Multi-Sector","4445851.29","115378","116612"
"2018","IRQ","Protection","5521140.029999999","237988","215745"
"2018","IRQ","Water, Sanitation and Hygiene","5339192.22","361280","452671"
"2018","JOR","Education","600003.04","3060","4179"
"2018","JOR","Emergency Shelter and NFI","3951147.6799999997","76647","106491"
"2018","JOR","Food Security","55241.76","19537","36093"
"2018","JOR","Health","3102504.75","4933","8183"
"2018","JOR","Protection","1808378.74","14811","16947"
"2018","JOR","Water, Sanitation and Hygiene","855241.76","36149","87479"
"2018","LBN","Coordination and Support Services","53125.5","100","100"
"2018","LBN","Emergency Shelter and NFI","6268811.140000001","63541","71111"
"2018","LBN","Health","3230512.8367999997","10525","13688"
"2018","LBN","Protection","5143473.1832","41476","55516"
"2018","MMR","Camp Coordination / Management","47999.9964","2739","5320"
"2018","MMR","Education","1385119.1937","63162","65494"
"2018","MMR","Emergency Shelter and NFI","2606531.9649","53226","70893"
"2018","MMR","Food Security","2568131.3487","152080","209725"
"2018","MMR","Health","1946773.2275999999","240440","258888"
"2018","MMR","Nutrition","670949.5861","29715","28000"
"2018","MMR","Protection","1805621.4605999999","140019","150270"
"2018","MMR","Water, Sanitation and Hygiene","1784725.742","88543","95684"
"2018","NGA","Camp Coordination / Management","3599432.8482","164250","257160"
"2018","NGA","Education","2017428.8599999999","66956","72326"
"2018","NGA","Emergency Shelter and NFI","5620754.097200001","245751","372042"
"2018","NGA","Food Security","1099631.8496","9760","8815"
"2018","NGA","Health","6864725.12","6910594","6961494"
"2018","NGA","Logistics","4199628.01","28500","45165"
"2018","NGA","Nutrition","2289838.67","271244","404128"
"2018","NGA","Protection","4684302.6558799995","320805","374947"
"2018","NGA","Water, Sanitation and Hygiene","5691181.40912","1119976","1476615"
"2018","PSE","Education","585193.99","15233","16418"
"2018","PSE","Emergency Shelter and NFI","1998553.37","4755","5011"
"2018","PSE","Food Security","2992974.4672","66417","83564"
"2018","PSE","Health","8248389.2928","1450215","1555605"
"2018","PSE","Protection","2900815.16","64488","83044"
"2018","PSE","Water, Sanitation and Hygiene","4447007.17","1627627","1704644"
"2018","PAK","Emergency Shelter and NFI","649943.34","4620","4626"
"2018","PAK","Health","1624996.57","134587","222214"
"2018","PAK","Water, Sanitation and Hygiene","3083232.55","160167","207916"
"2018","SOM","Camp Coordination / Management","2589612.7863","183426","197283"
"2018","SOM","Education","4973626.668579999","108280","120380"
"2018","SOM","Emergency Shelter and NFI","6611509.720499999","223954","289164"
"2018","SOM","Food Security","8412748.01692","117838","129107"
"2018","SOM","Health","6359548.270321","698966","701948"
"2018","SOM","Logistics","1100000.03","5700","2103"
"2018","SOM","Multi-Sector","499999.53","10086","10093"
"2018","SOM","Nutrition","5953318.030658","457754","442415"
"2018","SOM","Protection","4979091.669799999","139402","168554"
"2018","SOM","Water, Sanitation and Hygiene","11487834.646921001","620390","712532"
"2018","SSD","Camp Coordination / Management","1899673.6099999999","224456","267887"
"2018","SSD","Education","5114741.43","98230","146022"
"2018","SSD","Emergency Shelter and NFI","3792291.5","293916","507357"
"2018","SSD","Food Security","5199238.97","787470","785415"
"2018","SSD","Health","10517300.91","2411077","2826456"
"2018","SSD","Logistics","3560000.03","455","472"
"2018","SSD","Nutrition","8268416.359999999","643520","1018775"
"2018","SSD","Protection","8633302.56","358077","460677"
"2018","SSD","Water, Sanitation and Hygiene","6381002.88","525384","687350"
"2018","SDN","Coordination and Support Services","500000.3","245000","164230"
"2018","SDN","Early Recovery","1251999.11","67342","52917"
"2018","SDN","Education","1322596.106","18246","434724"
"2018","SDN","Emergency Shelter and NFI","547279.4284999999","30999","40007"
"2018","SDN","Food Security","9081393.56194","554073","549954"
"2018","SDN","Health","7992859.3298","2418378","2961382"
"2018","SDN","Logistics","1000000","5400","5636"
"2018","SDN","Multi-Sector","6031409.15","292493","503721"
"2018","SDN","Nutrition","5542302.5154","501308","586960"
"2018","SDN","Protection","1288958.9759999998","82489","344420"
"2018","SDN","Water, Sanitation and Hygiene","7931048.072360001","1000401","1261137"
